theta,ReE,ImE,der
14.08,2.8801531538779352,0.855633421176607,0.1821668003990391
14.24,2.8647021970729147,0.8806503528207319,0.1853888397029966
14.4,2.848977858638769,0.9061094947193541,0.1886654561415074
14.56,2.832983791784598,0.9320233672709063,0.1919966606111698
14.72,2.8167238748114443,0.9584046125987423,0.1953823706900729
14.88,2.8002022341573456,0.9852659800694354,0.19882240766451695
15.040000000000001,2.7834232665188954,1.0126203106077107,0.20231649351660588
15.200000000000001,2.766391659936571,1.0404805197376878,0.20586424797912592
15.36,2.749112413773648,1.0688595792811755,0.20946518559728908
15.52,2.731590857482384,1.0977704976619027,0.2131187129001678
15.68,2.7138326680483424,1.127226298786745,0.21682412606642437
15.84,2.695843885919434,1.1572399995259648,0.21869807549314577
16.0,2.6776309294102054,1.1878245857623835,0.22247969535688583
