theta,ReE,ImE,der
13.76,3.1771639136029637,-0.130289673207354,0.007940009668119148
13.92,3.1775859099806385,-0.129060421595937,0.008309914100327134
14.08,3.178008938963439,-0.1277670973298828,0.008703635574029868
14.24,3.1784337592492737,-0.12640615430977742,0.00912199385402109
14.4,3.1788610989715704,-0.1249738717027534,0.009565887462710554
14.56,3.1792916565467526,-0.12346634528734053,0.010036293465164336
14.72,3.179726101289465,-0.12187947837211426,0.010534267481521873
14.88,3.1801650737887135,-0.12020897229296086,0.011060943929076972
15.040000000000001,3.180609186043459,-0.11845031647863571,0.011617536530679344
15.200000000000001,3.181059021353767,-0.1165987780840515,0.012205339060969933
15.36,3.1815151339596377,-0.11464939118464458,0.012825726345741802
15.52,3.1819780484198392,-0.11259694552665504,0.013480155460105357
15.68,3.182448258721615,-0.11043597483596289,0.014170167141970268
