theta,ReE,ImE,der
14.4,2.672780056665583,-0.2599958931438464,0.1271219927847686
14.56,2.6554959073582522,-0.2714280805485898,0.13194663371490975
14.72,2.637617684566667,-0.2833896873290281,0.136971771482689
14.88,2.6191196155166914,-0.29590021382704185,0.1422068941781136
15.040000000000001,2.59997440262025,-0.30897974091904795,0.14766191629390693
15.200000000000001,2.5801531331954806,-0.3226489311743664,0.1533471894415292
15.36,2.5596251856883483,-0.3369290275302841,0.15927351062890555
15.52,2.5383581329243396,-0.3518418492468627,0.16545212744886748
15.68,2.516317643016473,-0.3674097848423585,0.1718947391854535
15.84,2.4934673788727713,-0.38365578173148407,0.17523053859023974
16.0,2.469768897454345,-0.4006033322141922,0.18209259845004885
